length_of_residence,total_members_in_household,mean_total_calls_veh,income_100k_,income_40___99999,credit_ranges_800_,education_completed_college,generation_baby_boomers__1948___1968_,generation_generation_x__1969___1980_,generation_post_war____1948_,aaa_financial_service_0,aaa_credit_card_0,occupation_group_management,occupation_group_professional,occupation_group_retired,kcl_b_ind_mosaicsgrouping_singles_and_starters,aaa_motorcycle_indicator_1_0,tenure_between_21___40_years,aaa_travel_0,no_members_3___member,aaa_cancel,membership_id,will_cancel_prob
15.0,1,2.5485,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,153,0.214
0.0,1,0.1645,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,155,1.0
8.5556,4,2.3971,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,163,0.02
15.0,1,3.7444,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,182,0.3222222222222222
15.0,3,3.1964,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,188,0.13
13.0,3,2.9785,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,191,0.08
0.0,1,0.1645,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,195,1.0
7.5,2,0.1645,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,205,0.315
0.0,2,2.8938,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,208,0.4564827586206897
0.0,2,2.4416,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,209,1.0
0.0,1,0.1645,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,251,1.0
5.0,2,0.1645,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,263,1.0
5.0,2,0.1645,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,282,0.2075
15.0,1,2.8049,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,335,0.142
12.0,2,3.0205,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,341,1.0
2.6667,3,3.0205,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,342,0.08
0.0,2,0.1645,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,358,1.0
0.0,2,3.1964,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,366,0.5986872586872587
7.0,2,0.1645,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,374,0.1575
0.0,1,0.1645,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,387,1.0
0.0,1,0.1645,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,389,0.16727272727272727
0.0,2,2.4416,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,412,0.488205074566435
10.0,3,2.6025,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,416,0.28
11.25,2,2.5485,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,427,0.19
13.125,2,3.4601,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,439,0.05
0.0,3,0.1645,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,450,1.0
6.0,1,2.7486,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,484,0.15
2.3333,5,2.4795,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,487,0.28
12.0,1,2.4416,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,491,0.18
1.5,2,3.0681,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,507,0.3222222222222222
0.0,2,0.1645,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,509,0.11723404255319149
0.1733,6,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,513,1.0
11.375,5,0.1645,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,535,0.09
0.0,2,0.1645,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,538,1.0
7.0,2,0.1645,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,559,1.0
3.75,4,2.5107,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,584,0.17
10.0,4,0.1645,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,593,0.4075
15.0,2,0.1645,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,596,1.0
15.0,1,0.1645,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,636,0.4311904761904762
7.5,2,0.1645,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,660,0.4311904761904762
0.0,6,0.1645,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,666,0.41303594771241836
3.3333,5,0.1645,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,722,0.49
8.0,1,2.5485,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,725,0.08
0.0,1,2.9578,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,726,1.0
13.0,3,2.8938,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,727,0.12
0.0,2,0.1645,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,775,0.51
5.0,1,3.522,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,778,0.25
