total_calls,mean_tow_miles,credit_ranges_below_700,credit_ranges_between_700___799,education_some_college,generation_millenials__1981___1993_,income_100k_,income_under_39999,aaa_financial_service_0,no_members_3___member,kcl_b_ind_mosaicsgrouping_middle_class_melting_pot,kcl_b_ind_mosaicsgrouping_power_elite,occupation_group_professional,mosaic_global_household_hard_working_blue_collar,mosaic_global_household_low_income_elders,aaa_motorcycle_indicator_0_0,aaa_deposit,membership_id,yes_deposit
18.0,0.088889,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,153,0.0
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,155,0.22716627634660444
9.0,0.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,163,0.0
0.0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,182,0.0
1.0,1.166667,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,188,0.0
1.0,1.75,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,191,0.0
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,195,0.22716627634660444
1.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,205,0.0
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,208,0.22716627634660444
1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,209,0.0
2.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,251,0.0
0.0,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,263,0.0
1.0,0.3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,282,0.0
1.0,0.0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,335,0.0
16.0,2.36,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,341,0.0
1.0,0.0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,342,0.0
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,358,0.22716627634660444
8.0,9.44,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,366,0.0
0.0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,374,0.0
2.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,387,0.0
1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,389,0.0
12.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,412,0.0
0.0,0.0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,416,0.0
0.0,0.0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,427,0.0
43.0,0.7625,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,439,0.0
2.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,450,0.0
15.0,0.8,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,484,0.0
13.0,1.066667,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,487,0.0
0.0,8.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,491,0.0
0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,507,0.8558558558558552
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,509,0.22716627634660444
