total_calls,mean_basic_cost,generation_baby_boomers__1948___1968_,no_members_2___member,no_members_3___member,kcl_b_ind_mosaicsgrouping_boomers,kcl_b_ind_mosaicsgrouping_middle_class_melting_pot,aaa_auto_insurance_0,occupation_group_management,occupation_group_retired,mosaic_global_household_routine_service_workers,aaa_motorcycle_indicator_1_0,aaa_home_equity,membership_id,yes_home_equity
18.0,33.833333,0,0,0,0,0,1,0,0,0,0,0,153,0.0
0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,155,0.0
9.0,39.205556,0,0,0,1,0,1,0,0,1,1,0,163,0.0
0.0,28.0,0,0,0,0,0,0,0,1,0,0,0,182,0.0
1.0,53.975,0,0,1,0,0,1,0,1,0,1,0,188,0.0
1.0,39.75,1,0,1,0,0,1,0,1,0,0,0,191,0.0
0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,195,0.0
1.0,29.425,0,1,0,0,0,1,0,1,0,1,0,205,0.0
0.0,29.425,0,1,0,0,0,1,0,0,0,1,0,208,0.0
1.0,14.5,0,1,0,0,0,1,0,0,0,0,0,209,0.0
2.0,0.0,0,0,0,0,0,1,0,0,0,0,0,251,0.02
0.0,0.0,0,1,0,0,0,1,0,0,1,0,0,263,0.0
1.0,16.5,0,1,0,0,0,0,0,1,0,1,0,282,0.0
1.0,32.5,0,0,0,0,0,1,0,1,0,0,0,335,0.0
16.0,24.6,1,1,0,0,1,1,0,0,0,0,0,341,0.01
1.0,17.666667,0,0,1,0,0,1,0,0,1,0,0,342,0.0
0.0,0.0,0,1,0,1,0,0,0,0,1,0,0,358,0.0
8.0,24.5,0,1,0,0,0,0,0,0,0,0,0,366,0.0
0.0,13.5,0,1,0,0,0,1,0,1,0,1,0,374,0.0
2.0,0.0,1,0,0,0,0,1,0,0,0,0,0,387,0.0
1.0,0.0,1,0,0,0,0,1,0,1,0,0,0,389,0.0
12.0,45.91,0,1,0,0,0,1,0,0,0,1,0,412,0.0
0.0,10.0,0,0,1,0,0,1,0,1,0,0,0,416,0.0
0.0,27.0,1,1,0,1,0,1,1,0,1,0,0,427,0.03
43.0,31.1875,0,1,0,1,0,1,1,0,0,1,0,439,0.02
2.0,0.0,0,0,1,0,0,1,0,0,0,0,0,450,0.01
15.0,55.34,0,0,0,0,0,1,0,1,0,1,0,484,0.0
13.0,30.638889000000002,0,0,0,1,0,1,0,0,0,0,0,487,0.0
0.0,58.85,0,0,0,0,0,1,0,1,0,1,0,491,0.0
0.0,22.5,0,1,0,0,0,1,0,1,0,0,0,507,0.0
0.0,0.0,0,1,0,0,0,1,0,1,0,0,0,509,0.0
9.0,13.9095,0,0,0,0,0,1,0,0,0,1,0,513,0.0
12.0,31.35625,1,0,0,0,1,1,0,0,0,1,0,535,0.0
0.0,0.0,0,1,0,0,0,1,0,0,1,0,0,538,0.0
0.0,0.0,0,1,0,1,0,1,0,0,1,0,0,559,0.0
0.0,6.75,0,0,0,1,0,1,0,0,1,0,0,584,0.0
21.0,24.6,1,0,0,0,0,1,0,1,1,1,0,593,0.0
0.0,26.5,0,1,0,1,0,1,0,1,1,0,0,596,0.0
1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,636,0.02
0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,660,0.0
2.0,27.23125,0,0,0,0,0,1,0,0,0,1,0,666,0.0
0.0,17.666667,0,0,0,0,0,1,0,0,0,0,0,722,0.0
20.0,47.57,0,0,0,1,0,1,0,0,0,1,0,725,0.0
4.0,53.0,1,0,0,0,0,1,0,0,1,0,0,726,0.0
6.0,25.0,0,0,1,0,1,1,1,0,1,0,0,727,0.01
0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,775,0.0
28.0,53.835714,0,0,0,0,0,1,0,1,1,1,0,778,0.0
26.0,22.714285999999998,0,0,0,0,0,1,0,0,0,1,0,783,0.0
0.0,23.4,1,0,1,1,0,0,0,0,0,1,0,815,0.0
65.0,39.505,0,0,1,0,0,1,1,0,0,1,0,854,0.0
0.0,0.0,1,0,0,1,0,0,0,0,1,0,0,866,0.0
2.0,0.0,0,0,0,0,0,1,0,0,0,0,0,868,0.02
2.0,27.6,0,0,1,0,0,1,0,0,0,1,0,870,0.0
1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,874,0.02
0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,881,0.0
2.0,20.166667,1,0,1,1,0,1,0,0,0,0,0,882,0.0
1.0,44.166667,1,0,1,0,0,0,0,0,0,0,0,898,0.0
3.0,27.0,1,1,0,0,0,1,0,0,0,0,0,959,0.0
0.0,15.0,1,1,0,0,0,1,0,0,0,0,0,965,0.0
2.0,53.0,0,1,0,0,0,1,0,0,0,0,0,1000,0.0
0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1010,0.0
0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1111,0.0
0.0,13.25,0,0,0,0,0,0,0,0,0,1,0,1126,0.0
19.0,37.857143,1,0,0,0,0,1,0,1,0,1,0,1132,0.0
42.0,44.427273,1,0,0,0,0,0,1,0,0,1,0,1139,0.0
0.0,26.5,0,1,0,0,0,1,0,0,0,0,0,1180,0.0
46.0,42.015384999999995,1,0,1,0,0,1,0,1,1,1,0,1216,0.0
0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,1243,0.0
1.0,0.0,0,0,0,1,0,1,0,0,1,0,0,1245,0.0
14.0,29.0,0,0,0,0,0,1,1,0,0,0,0,1247,0.0
0.0,0.0,0,1,0,0,0,1,0,1,0,0,0,1249,0.0
3.0,11.166667,0,0,1,1,0,0,1,0,1,1,0,1269,0.0
0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,1282,0.0
4.0,29.425,0,1,0,0,0,1,0,0,0,1,0,1307,0.0
1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1329,0.04
2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1354,0.09
1.0,54.95,0,0,1,0,0,1,0,0,0,0,0,1363,0.0
0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1382,0.0
12.0,55.925,0,0,0,0,0,1,0,0,0,1,0,1397,0.0
12.0,22.6,1,0,0,0,0,0,1,0,1,0,0,1405,0.0
2.0,53.0,0,0,0,0,0,1,0,0,0,0,0,1497,0.0
2.0,31.357143,0,0,0,0,0,1,0,1,1,1,0,1527,0.0
1.0,15.0,1,1,0,0,0,1,0,0,0,0,0,1535,0.0
1.0,15.0,0,1,0,0,0,1,0,0,0,0,0,1549,0.0
4.0,13.25,1,0,0,0,0,0,0,0,0,0,0,1589,0.0
0.0,0.0,0,1,0,0,1,1,0,0,0,0,0,1628,0.0
18.0,43.363636,0,0,1,1,0,1,1,0,0,1,0,1634,0.0
28.0,39.428571000000005,0,1,0,0,0,1,0,1,0,1,0,1644,0.0
0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,1696,0.0
0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,1708,0.0
7.0,31.916666999999997,0,0,0,0,0,1,0,0,0,1,0,1763,0.0
2.0,26.5,1,1,0,1,0,1,0,0,0,0,0,1777,0.0
0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1807,0.0
0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1847,0.0
1.0,0.0,0,0,0,0,0,1,0,1,0,0,0,1878,0.0
0.0,0.0,0,1,0,1,0,0,1,0,1,0,0,1906,0.0
0.0,35.333333,0,1,0,1,0,1,0,0,0,0,0,1923,0.0
0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,1933,0.0
12.0,44.166667,0,1,0,1,0,1,0,0,0,0,0,1967,0.0
3.0,38.95,1,0,0,1,0,1,0,0,1,0,0,1968,0.0
2.0,17.666667,1,0,1,1,0,1,0,0,1,0,0,2007,0.0
3.0,0.0,0,1,0,0,0,1,0,0,0,0,0,2020,0.0
0.0,28.666666999999997,0,0,1,0,0,1,0,0,0,1,0,2021,0.0
14.0,35.1,0,1,0,0,0,1,0,0,0,1,0,2029,0.0
0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,2030,0.0
13.0,24.121429,0,0,0,0,0,0,0,0,1,0,0,2061,0.0
0.0,16.0,0,1,0,0,0,1,0,0,0,0,0,2091,0.0
1.0,11.833333,0,0,1,0,0,0,0,0,0,0,0,2114,0.0
5.0,27.835714000000003,0,0,0,0,0,1,0,0,0,0,0,2131,0.0
2.0,30.25,0,0,0,0,0,1,0,0,0,1,0,2134,0.0
4.0,19.2,0,1,0,0,0,0,0,0,0,1,0,2146,0.0
12.0,36.272727,1,0,1,1,0,0,0,0,1,1,0,2155,0.0
0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,2171,0.0
6.0,13.428571,0,0,0,0,1,0,0,1,1,0,0,2193,0.0
1.0,19.616667,0,0,1,0,1,0,1,0,0,1,0,2222,0.01
0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,2225,0.0
0.0,39.833333,1,1,0,1,0,1,0,0,1,1,0,2255,0.02
0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,2259,0.0
1.0,0.0,1,0,0,0,0,1,0,0,0,0,0,2269,0.0
0.0,41.5,0,1,0,0,0,0,0,0,0,0,0,2270,0.0
4.0,41.5,0,0,0,1,0,0,0,0,1,0,0,2272,0.0
