call_date,membership_id,total_cost,csrd_yyyymm,csrd_yyyy,csrd_mth,csrd_yyyywk,csrd_wk
2015-01-08 11:11:03,123441,30.0,201501,2015,1,20154,4
2015-04-06 11:41:01,123441,30.0,201504,2015,4,20151,1
2014-09-06 15:28:10,123470,89.0,201409,2014,9,20146,6
2016-02-09 09:45:28,123470,53.0,201602,2016,2,20162,2
2015-12-04 09:34:55,124116,53.0,201512,2015,12,20155,5
2019-04-09 11:18:54,124126,58.85,201904,2019,4,20192,2
2018-11-12 13:30:42,124126,58.85,201811,2018,11,20181,1
2015-08-16 02:05:30,124126,58.0,201508,2015,8,20150,0
2015-10-03 00:25:15,124126,0.0,201510,2015,10,20156,6
2017-02-10 13:44:25,124126,53.0,201702,2017,2,20175,5
2015-04-29 01:51:33,124126,58.0,201504,2015,4,20153,3
2015-05-06 12:45:38,124200,28.0,201505,2015,5,20153,3
2019-05-30 12:11:31,124200,32.5,201905,2019,5,20194,4
2019-06-05 15:07:23,124200,58.85,201906,2019,6,20193,3
2019-05-18 09:22:57,124200,32.5,201905,2019,5,20196,6
2019-05-17 08:20:57,124200,32.5,201905,2019,5,20195,5
2019-05-15 12:30:03,124200,32.5,201905,2019,5,20193,3
2015-10-29 09:04:46,124200,28.0,201510,2015,10,20154,4
2017-01-10 10:45:33,124200,30.5,201701,2017,1,20172,2
2015-02-08 10:18:43,124301,30.0,201502,2015,2,20150,0
2015-02-18 15:59:06,124301,30.0,201502,2015,2,20153,3
2015-03-24 14:15:26,124301,30.0,201503,2015,3,20152,2
2019-09-05 14:07:08,124359,58.85,201909,2019,9,20194,4
2015-01-06 06:43:54,124807,0.0,201501,2015,1,20152,2
2014-12-07 10:08:36,124956,53.0,201412,2014,12,20140,0
2016-11-15 09:48:10,124956,53.0,201611,2016,11,20162,2
2016-11-14 15:47:54,124956,26.0,201611,2016,11,20161,1
2019-02-15 14:11:39,124956,29.43,201902,2019,2,20195,5
2015-05-11 10:22:02,125114,53.0,201505,2015,5,20151,1
2018-11-28 13:42:00,125126,58.85,201811,2018,11,20183,3
2015-12-28 14:50:09,125126,53.0,201512,2015,12,20151,1
2016-08-09 13:14:49,125126,53.0,201608,2016,8,20162,2
2016-09-26 09:49:57,125126,53.0,201609,2016,9,20161,1
2019-08-18 20:17:07,125252,0.0,201908,2019,8,20190,0
2019-08-18 20:34:12,125252,58.85,201908,2019,8,20190,0
2015-01-02 15:05:32,125252,53.0,201501,2015,1,20155,5
2015-03-24 12:34:45,125252,53.0,201503,2015,3,20152,2
2018-09-09 06:35:26,125252,58.85,201809,2018,9,20180,0
2016-11-01 19:34:02,125252,30.0,201611,2016,11,20162,2
2015-08-22 19:09:20,125252,30.0,201508,2015,8,20156,6
2015-11-23 15:33:18,125252,30.0,201511,2015,11,20151,1
2016-11-02 21:50:57,125252,53.0,201611,2016,11,20163,3
2014-06-03 09:38:25,125410,33.0,201406,2014,6,20142,2
2014-11-25 10:59:32,125410,33.0,201411,2014,11,20142,2
2015-06-03 14:15:36,125410,33.0,201506,2015,6,20153,3
2014-08-14 18:01:58,125417,53.0,201408,2014,8,20144,4
2019-09-15 14:23:28,125571,58.85,201909,2019,9,20190,0
2016-10-10 11:37:08,125571,38.0,201610,2016,10,20161,1
2019-01-22 15:59:00,125571,58.85,201901,2019,1,20192,2
2018-12-14 10:42:06,125571,58.85,201812,2018,12,20185,5
2015-12-22 19:52:43,125571,53.0,201512,2015,12,20152,2
2014-07-17 12:26:10,125571,53.0,201407,2014,7,20144,4
2014-10-27 18:00:31,125571,30.0,201410,2014,10,20141,1
2014-11-18 08:02:00,125571,53.0,201411,2014,11,20142,2
2014-12-07 12:29:34,125571,53.0,201412,2014,12,20140,0
2014-12-11 12:05:28,125571,53.0,201412,2014,12,20144,4
2016-11-02 16:39:02,125571,62.0,201611,2016,11,20163,3
2016-01-07 08:55:31,125571,53.0,201601,2016,1,20164,4
2016-01-12 12:59:20,125571,53.0,201601,2016,1,20162,2
2016-05-24 12:51:29,125571,53.0,201605,2016,5,20162,2
2016-11-09 08:47:40,125571,53.0,201611,2016,11,20163,3
2014-12-25 11:13:25,125571,53.0,201412,2014,12,20144,4
2014-12-26 13:11:06,125571,0.0,201412,2014,12,20145,5
2015-03-10 17:05:01,125571,101.0,201503,2015,3,20152,2
2018-11-20 09:03:37,125666,58.85,201811,2018,11,20182,2
2014-08-16 14:55:27,125666,53.0,201408,2014,8,20146,6
2015-08-21 16:53:51,125666,30.0,201508,2015,8,20155,5
2015-12-08 15:46:38,125666,53.0,201512,2015,12,20152,2
2016-06-11 15:53:51,125666,53.0,201606,2016,6,20166,6
2015-04-24 14:03:06,125666,53.0,201504,2015,4,20155,5
2016-12-03 10:37:52,125666,33.0,201612,2016,12,20166,6
2015-03-30 09:50:14,132862,58.0,201503,2015,3,20151,1
2015-06-23 20:17:30,150540,53.0,201506,2015,6,20152,2
2015-06-26 10:41:02,150540,53.0,201506,2015,6,20155,5
2015-06-29 10:08:25,150540,53.0,201506,2015,6,20151,1
2015-09-28 13:09:56,150540,28.0,201509,2015,9,20151,1
2015-12-02 11:09:51,150540,53.0,201512,2015,12,20153,3
2016-02-15 10:40:45,150540,53.0,201602,2016,2,20161,1
2014-08-02 23:16:58,150540,30.0,201408,2014,8,20146,6
2015-12-18 13:54:06,150540,30.0,201512,2015,12,20155,5
2016-04-13 10:08:31,150540,53.0,201604,2016,4,20163,3
2016-02-04 21:03:39,150540,30.0,201602,2016,2,20164,4
2016-06-29 11:18:18,150540,0.0,201606,2016,6,20163,3
2019-05-27 20:15:47,150551,34.65,201905,2019,5,20191,1
2019-05-05 10:33:52,150551,53.2,201905,2019,5,20190,0
2016-08-25 09:25:05,150551,28.0,201608,2016,8,20164,4
2016-10-27 10:39:23,150551,30.0,201610,2016,10,20164,4
2015-12-28 08:55:00,150573,30.0,201512,2015,12,20151,1
2016-01-04 14:56:33,150573,30.0,201601,2016,1,20161,1
2014-09-02 08:28:17,150573,26.0,201409,2014,9,20142,2
2019-03-28 10:48:08,150589,32.5,201903,2019,3,20194,4
2015-03-06 14:48:07,150589,28.0,201503,2015,3,20155,5
2015-10-16 11:36:39,150589,53.0,201510,2015,10,20155,5
2017-04-20 09:43:51,150593,26.5,201704,2017,4,20174,4
2017-04-21 17:44:51,150593,53.0,201704,2017,4,20175,5
2019-07-12 12:17:23,150593,248.0,201907,2019,7,20195,5
2014-08-29 09:48:19,150593,53.0,201408,2014,8,20145,5
2018-09-21 17:16:17,150593,242.0,201809,2018,9,20185,5
2014-08-25 08:43:10,150608,82.0,201408,2014,8,20141,1
2015-06-20 18:48:47,150701,53.0,201506,2015,6,20156,6
2016-03-23 10:14:44,150701,53.0,201603,2016,3,20163,3
2019-05-14 14:45:45,150701,95.97,201905,2019,5,20192,2
2019-02-25 19:24:54,150701,58.85,201902,2019,2,20191,1
2015-01-31 17:27:47,150701,53.0,201501,2015,1,20156,6
2016-02-19 15:17:28,150701,53.0,201602,2016,2,20165,5
2019-08-23 20:50:23,150724,58.85,201908,2019,8,20195,5
2019-07-27 15:15:47,150724,58.85,201907,2019,7,20196,6
2016-01-05 20:06:39,150724,53.0,201601,2016,1,20162,2
2017-01-16 10:55:08,150724,53.0,201701,2017,1,20171,1
2015-10-31 03:19:37,150724,39.0,201510,2015,10,20156,6
2019-03-28 21:44:39,150753,32.5,201903,2019,3,20194,4
2019-01-25 18:20:53,150753,33.0,201901,2019,1,20195,5
2015-06-25 19:18:45,150753,28.0,201506,2015,6,20154,4
2018-09-08 15:33:12,150753,58.85,201809,2018,9,20186,6
2016-08-25 16:44:54,150753,53.0,201608,2016,8,20164,4
2014-07-25 11:29:54,150753,53.0,201407,2014,7,20145,5
2017-02-21 09:13:06,150788,53.0,201702,2017,2,20172,2
2016-12-21 09:07:23,150788,53.0,201612,2016,12,20163,3
2017-02-17 09:11:44,150788,53.0,201702,2017,2,20175,5
2016-04-11 08:57:12,150822,30.0,201604,2016,4,20161,1
2016-02-20 15:06:48,150822,30.0,201602,2016,2,20166,6
2016-06-08 15:02:12,150822,53.0,201606,2016,6,20163,3
2019-09-21 21:33:36,150883,58.85,201909,2019,9,20196,6
2019-01-04 15:31:22,150883,58.85,201901,2019,1,20195,5
2018-12-13 16:10:15,150883,33.5,201812,2018,12,20184,4
2018-08-30 09:21:14,150883,29.43,201808,2018,8,20184,4
2014-09-09 13:55:20,150883,43.0,201409,2014,9,20142,2
2014-10-18 12:42:52,150883,28.0,201410,2014,10,20146,6
2015-09-10 20:32:07,150883,53.0,201509,2015,9,20154,4
2016-02-16 18:22:03,150883,53.0,201602,2016,2,20162,2
2016-08-07 13:07:15,150883,53.0,201608,2016,8,20160,0
2016-07-13 12:41:12,150883,53.0,201607,2016,7,20163,3
2016-08-08 11:48:06,150883,53.0,201608,2016,8,20161,1
2016-09-17 03:18:32,150883,53.0,201609,2016,9,20166,6
2014-07-09 09:25:01,150940,30.0,201407,2014,7,20143,3
2015-02-23 12:51:59,150940,30.0,201502,2015,2,20151,1
2015-05-10 09:30:27,150940,30.0,201505,2015,5,20150,0
2019-07-14 19:20:54,150953,58.85,201907,2019,7,20190,0
2019-06-04 18:31:25,150953,64.85,201906,2019,6,20192,2
2016-06-18 16:28:50,150953,53.0,201606,2016,6,20166,6
2015-03-13 11:51:07,150953,27.0,201503,2015,3,20155,5
2016-06-14 16:24:15,150953,0.0,201606,2016,6,20162,2
