membership_id,call_date,total_cost,calculated_tow_miles,csrd_yyyymm,csrd_yyyy,csrd_mth,csrd_yyyywk,csrd_wk
191,2014-08-12 07:10:16,53.0,0.0,201408,2014,8,20142,2
484,2015-03-26 10:54:19,53.0,0.0,201503,2015,3,20154,4
487,2016-10-10 11:58:12,16.0,0.0,201610,2016,10,20161,1
487,2015-12-04 17:38:18,27.0,0.0,201512,2015,12,20155,5
535,2015-03-13 11:33:35,0.0,0.0,201503,2015,3,20155,5
596,2015-01-08 15:41:53,0.0,0.0,201501,2015,1,20154,4
783,2019-01-16 12:06:45,0.0,0.0,201901,2019,1,20193,3
783,2019-01-16 12:07:59,0.0,0.0,201901,2019,1,20193,3
870,2015-08-28 08:56:20,0.0,0.0,201508,2015,8,20155,5
1216,2014-10-30 19:16:42,27.0,0.0,201410,2014,10,20144,4
1527,2015-03-20 13:14:59,53.0,0.0,201503,2015,3,20155,5
1644,2015-05-05 16:23:53,53.0,0.0,201505,2015,5,20152,2
2146,2019-08-27 13:16:11,0.0,0.0,201908,2019,8,20192,2
2155,2015-07-29 08:48:31,0.0,0.0,201507,2015,7,20153,3
2313,2016-11-25 21:26:40,0.0,0.0,201611,2016,11,20165,5
2395,2014-09-28 19:59:58,30.0,0.0,201409,2014,9,20140,0
2413,2015-10-10 12:51:19,0.0,0.0,201510,2015,10,20156,6
2464,2016-09-27 13:08:38,0.0,0.0,201609,2016,9,20162,2
2485,2019-05-26 10:03:32,15.25,0.0,201905,2019,5,20190,0
2696,2014-09-14 09:26:46,53.0,0.0,201409,2014,9,20140,0
2763,2017-02-16 21:13:46,15.0,0.0,201702,2017,2,20174,4
2829,2015-04-09 12:15:01,53.0,0.0,201504,2015,4,20154,4
2829,2018-08-27 10:51:07,29.43,0.0,201808,2018,8,20181,1
2853,2016-12-06 19:27:58,0.0,0.0,201612,2016,12,20162,2
3128,2019-07-10 12:27:31,29.43,0.0,201907,2019,7,20193,3
3128,2016-02-11 07:26:20,53.0,0.0,201602,2016,2,20164,4
3128,2015-04-10 14:10:12,0.0,0.0,201504,2015,4,20155,5
3237,2015-10-19 12:59:24,53.0,0.0,201510,2015,10,20151,1
3520,2014-07-18 16:16:42,53.0,0.0,201407,2014,7,20145,5
3536,2016-06-04 10:41:24,30.0,0.0,201606,2016,6,20166,6
3557,2018-09-14 10:00:15,29.43,0.0,201809,2018,9,20185,5
3562,2017-04-21 18:00:20,16.25,0.0,201704,2017,4,20175,5
3762,2016-09-26 19:36:57,28.0,0.0,201609,2016,9,20161,1
3883,2019-04-10 09:26:29,0.0,0.0,201904,2019,4,20193,3
3883,2019-04-10 09:25:38,0.0,0.0,201904,2019,4,20193,3
3883,2014-11-22 11:22:01,0.0,0.0,201411,2014,11,20146,6
3883,2017-02-09 15:42:06,16.25,0.0,201702,2017,2,20174,4
3913,2017-02-14 09:45:36,26.5,0.0,201702,2017,2,20172,2
4095,2018-09-11 15:29:16,29.43,0.0,201809,2018,9,20182,2
4095,2016-09-16 16:32:47,53.0,0.0,201609,2016,9,20165,5
4095,2016-06-27 18:00:14,0.0,0.0,201606,2016,6,20161,1
4099,2016-08-28 14:03:43,28.0,0.0,201608,2016,8,20160,0
4123,2015-05-01 15:31:02,53.0,0.0,201505,2015,5,20155,5
4228,2014-08-06 08:49:02,0.0,0.0,201408,2014,8,20143,3
4300,2018-10-12 16:41:55,15.75,0.0,201810,2018,10,20185,5
4322,2014-06-05 18:56:22,0.0,0.0,201406,2014,6,20144,4
4538,2015-04-10 15:48:49,53.0,0.0,201504,2015,4,20155,5
4662,2016-04-03 12:25:41,0.0,0.0,201604,2016,4,20160,0
4816,2015-02-24 09:21:07,53.0,0.0,201502,2015,2,20152,2
4860,2018-11-22 22:33:27,0.0,0.0,201811,2018,11,20184,4
5182,2016-08-16 13:23:04,53.0,0.0,201608,2016,8,20162,2
5182,2016-11-21 09:45:12,0.0,0.0,201611,2016,11,20161,1
5249,2016-07-03 05:44:56,53.0,0.0,201607,2016,7,20160,0
5323,2016-02-05 10:00:14,30.0,0.0,201602,2016,2,20165,5
5323,2016-12-06 12:00:18,26.0,0.0,201612,2016,12,20162,2
5406,2019-02-14 17:21:51,0.0,0.0,201902,2019,2,20194,4
5406,2018-09-11 16:03:07,0.0,0.0,201809,2018,9,20182,2
5513,2015-06-22 14:53:01,0.0,0.0,201506,2015,6,20151,1
6000,2019-01-21 14:37:21,0.0,0.0,201901,2019,1,20191,1
6000,2015-02-16 11:06:35,0.0,0.0,201502,2015,2,20151,1
6000,2016-04-05 09:18:18,0.0,0.0,201604,2016,4,20162,2
6094,2019-01-22 20:03:08,0.0,0.0,201901,2019,1,20192,2
6094,2014-07-02 08:48:55,0.0,0.0,201407,2014,7,20143,3
6094,2015-02-02 18:25:09,53.0,0.0,201502,2015,2,20151,1
6094,2015-02-03 10:42:09,53.0,0.0,201502,2015,2,20152,2
6094,2018-11-28 07:12:16,16.5,0.0,201811,2018,11,20183,3
