membership_id,household_key,income,member_status,state_grouped,credit_ranges,cancel_reason,renew_method,plus_indicator_description,zip,sc_vehicle_manufacturer_name,sc_vehicle_model_name,race,home_owner,education,dwelling_type,gender,occupation_code,occupation_group,occupant_type,mosaic_household,mosaic_global_household,kcl_b_ind_mosaicsgrouping,generation,tenure,aaa_no_tenure,aaa_member_tenure_years,aaa_mean_age,length_of_residence,aaa_mortgage,aaa_credit_card,aaa_deposit,aaa_home_equity,aaa_financial_service,aaa_auto_insurance,aaa_id_theft,aaa_motorcycle_indicator,aaa_travel,aaa_mean_child,aaa_mean_total_cost,aaa_no_race,aaa_no_home_owner,aaa_no_education,aaa_no_income,aaa_no_dwelling_type,aaa_no_credit_ranges,aaa_no_gender,aaa_no_language,aaa_no_reason_joined,aaa_cancel_reason,aaa_no_mosaic_household,aaa_no_mosaic_global_household,aaa_no_kcl_b_ind_mosaicsgrouping,aaa_no_occupation_code,aaa_no_occupation_group,aaa_no_occupant_type,aaa_no_plus_indicator_description,aaa_no_generation,total_calls_year_1,total_calls_year_2,total_calls_year_3,total_member_cost_1,total_member_cost_2,total_member_cost_3,basic_cost,plus_cost,premier_cost,mean_basic_cost,mean_plus_cost,mean_premier_cost,total_calls,total_member_cost,mean_total_member_cost,vehicle,total_cost,mean_total_cost,total_members_in_household
153,4500791,"30-39,999",ACTIVE,RI,600-649,UNKNOWN,AUTO RENEW,BASIC MEMBERSHIP,2893,TOYOTA,CAMRY,CAUCASION / WHITE - ENGLISH,HOME OWNER,SOME COLLEGE,SMALL OR LARGE MULTI-FAMILY W/APT NUMBER,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SENIOR DISCOUNTS,LOW INCOME ELDERS,GOLDEN YEAR GUARDIANS,POST-WAR (< 1948),+40 YEARS,0,49,97.0,15.0,0,1,0,0,0,0,0,0.0,0,2.0,33.833333,2.0,0.0,1.0,8.0,2.0,5.0,,0.0,,,11.0,7.0,3.0,,,,0.0,0.0,0.0,0.0,18.0,0.0,0.0,585.0,304.5,0.0,0.0,33.833333,0.0,0.0,18.0,585.0,65.0,TOYOTA CAMRY,304.5,33.833333,1
155,4317516,UNKNOWN,CANCELLED,RI,UNKNOWN,DECEASED,NOTICE,UNKNOWN,2878,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SFDU,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,AGING IN PLACE,COMFORTABLE RETIREMENT,AUTUMN YEARS,UNKNOWN,BETWEEN 11 & 15 YEARS,1,13,,0.0,0,0,0,0,0,0,0,,0,,0.0,,,,,0.0,,,,,2.0,1.0,1.0,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN UNKNOWN,0.0,0.0,1
163,11622991,"50-59,999",ACTIVE,RI,750-799,UNKNOWN,AUTO RENEW,BASIC MEMBERSHIP,2889,SUBARU,FORESTER,CAUCASION / WHITE - EUROPEAN,HOME OWNER,HIGH SCHOOL,SFDU,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO PLACE LIKE HOME,ROUTINE SERVICE WORKERS,THRIVING BOOMERS,BABY BOOMERS (1948 - 1968),BETWEEN 1 & 5 YEARS,6,59,47.6667,8.5556,0,0,0,0,0,0,0,1.0,0,1.0,39.205556,6.0,0.0,2.0,4.0,0.0,1.0,,0.0,,1.0,3.0,3.0,4.0,,,,2.0,3.0,3.0,6.0,0.0,176.55,353.1,0.0,352.85,0.0,0.0,39.205556,0.0,0.0,9.0,529.65,58.85,SUBARU FORESTER,352.85,39.205556,4
182,579810,"50-59,999",ACTIVE,RI,650-699,UNKNOWN,NOTICE,BASIC MEMBERSHIP,2863,INFINITI,QX56,CAUCASION / WHITE - EUROPEAN,HOME OWNER,SOME COLLEGE,SFDU,MALE,RETIRED,RETIRED - KNOWN,UNKNOWN,TOWN ELDERS,COMFORTABLE RETIREMENT,GOLDEN YEAR GUARDIANS,POST-WAR (< 1948),+40 YEARS,0,59,83.0,15.0,0,0,0,0,0,1,0,0.0,0,1.0,28.0,1.0,0.0,1.0,4.0,0.0,3.0,2.0,0.0,,,6.0,1.0,3.0,1.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,INFINITI QX56,28.0,28.0,1
188,7187017,"100-149,999",ACTIVE,RI,650-699,UNKNOWN,NOTICE,BASIC MEMBERSHIP,2888,CHRYSLER,SEBRING,CAUCASION / WHITE - EUROPEAN,HOME OWNER,UNKNOWN,SFDU,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,AGING IN PLACE,COMFORTABLE RETIREMENT,AUTUMN YEARS,POST-WAR (< 1948),+40 YEARS,0,49,63.1667,15.0,0,0,0,0,0,0,0,1.0,1,2.0,53.975,1.0,0.0,,1.0,0.0,3.0,1.0,0.0,,,1.0,1.0,1.0,,9.0,,0.0,1.0,1.0,0.0,0.0,58.85,0.0,0.0,323.85,0.0,0.0,53.975,0.0,0.0,1.0,58.85,9.808333,CHRYSLER SEBRING,323.85,53.975,3
191,7728088,"100-149,999",ACTIVE,RI,750-799,UNKNOWN,NOTICE,BASIC MEMBERSHIP,2806,GMC,TERRAIN,MIDDLE EASTERN - ARAB,HOME OWNER,SOME COLLEGE,SFDU,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,AMERICAN ROYALTY,BOURGEOIS PROSPERITY,POWER ELITE,POST-WAR (< 1948),+40 YEARS,0,59,63.75,13.0,0,0,0,0,0,0,0,0.0,0,4.5,39.75,5.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,,,18.0,2.0,7.0,,6.0,,0.0,3.0,0.0,0.0,1.0,0.0,0.0,58.85,159.0,0.0,0.0,39.75,0.0,0.0,1.0,58.85,14.7125,GMC TERRAIN,159.0,39.75,3
195,7683618,UNKNOWN,CANCELLED,RI,UNKNOWN,DECEASED,NOTICE,UNKNOWN,2893,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SMALL OR LARGE MULTI-FAMILY W/APT NUMBER,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,BOHEMIAN GROOVE,METROPOLITAN STRUGGLERS,SIGNIFICANT SINGLES,UNKNOWN,+40 YEARS,0,49,,0.0,0,0,0,0,0,0,0,,0,,0.0,,,,,2.0,,,,,2.0,15.0,8.0,13.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN UNKNOWN,0.0,0.0,1
205,8724100,"150 - 174,999",ACTIVE,RI,750-799,UNKNOWN,NOTICE,BASIC MEMBERSHIP,2879,ACURA,TL,HISPANIC - HISPANIC ORIGIN,HOME OWNER,SOME COLLEGE,SFDU,MALE,UNKNOWN,RETIRED - INFERRED,UNKNOWN,PLATINUM PROSPERITY,BOURGEOIS PROSPERITY,POWER ELITE,POST-WAR (< 1948),+40 YEARS,0,59,77.5,7.5,0,0,0,0,0,0,0,1.0,0,2.0,29.425,6.0,0.0,1.0,10.0,0.0,1.0,2.0,0.0,,,16.0,2.0,7.0,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,58.85,0.0,58.85,0.0,0.0,29.425,0.0,0.0,1.0,58.85,29.425,ACURA TL,58.85,29.425,2
208,12394451,UNKNOWN,ACTIVE,RI,UNKNOWN,UNKNOWN,AUTO RENEW,BASIC MEMBERSHIP,2920,CHEVROLET,SONIC,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,POST-WAR (< 1948),BETWEEN 21 & 30 YEARS,2,59,79.5,0.0,0,0,0,0,0,0,0,1.0,0,,29.425,,,,,,,,,,2.0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.85,0.0,0.0,29.425,0.0,0.0,0.0,0.0,0.0,CHEVROLET SONIC,58.85,29.425,2
209,300071,UNKNOWN,CANCELLED,CT,UNKNOWN,NON-PAYMENT,NOTICE,BASIC MEMBERSHIP,6111,HYUNDAI,TUCSON,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,POST-WAR (< 1948),BETWEEN 31 & 40 YEARS,5,60,91.0,0.0,0,0,0,0,0,0,0,0.0,0,,14.5,,,,,,,,,,3.0,,,,,,,0.0,0.0,1.0,0.0,0.0,29.0,0.0,0.0,29.0,0.0,0.0,14.5,0.0,0.0,1.0,29.0,14.5,HYUNDAI TUCSON,29.0,14.5,2
