membership_id,household_key,income,member_status,state_grouped,credit_ranges,cancel_reason,renew_method,plus_indicator_description,zip,sc_vehicle_manufacturer_name,sc_vehicle_model_name,race,home_owner,education,dwelling_type,gender,occupation_code,occupation_group,occupant_type,mosaic_household,mosaic_global_household,kcl_b_ind_mosaicsgrouping,generation,tenure,aaa_no_tenure,aaa_member_tenure_years,aaa_mean_age,length_of_residence,aaa_mortgage,aaa_credit_card,aaa_deposit,aaa_home_equity,aaa_financial_service,aaa_auto_insurance,aaa_id_theft,aaa_motorcycle_indicator,aaa_travel,aaa_mean_child,aaa_mean_total_cost,aaa_no_race,aaa_no_home_owner,aaa_no_education,aaa_no_income,aaa_no_dwelling_type,aaa_no_credit_ranges,aaa_no_gender,aaa_no_language,aaa_no_reason_joined,aaa_cancel_reason,aaa_no_mosaic_household,aaa_no_mosaic_global_household,aaa_no_kcl_b_ind_mosaicsgrouping,aaa_no_occupation_code,aaa_no_occupation_group,aaa_no_occupant_type,aaa_no_plus_indicator_description,aaa_no_generation,total_calls_year_1,total_calls_year_2,total_calls_year_3,total_member_cost_1,total_member_cost_2,total_member_cost_3,basic_cost,plus_cost,premier_cost,mean_basic_cost,mean_plus_cost,mean_premier_cost,total_calls,total_member_cost,mean_total_member_cost,total_tow_miles,mean_tow_miles,vehicle,total_cost,mean_total_cost,total_members_in_household,total_calls_veh,total_cost_veh,total_member_cost_veh,mean_total_calls_veh,mean_total_cost_veh,mean_total_member_cost_veh,consumer_score
153,4500791,"30-39,999",ACTIVE,RI,600-649,UNKNOWN,AUTO RENEW,BASIC MEMBERSHIP,2893,TOYOTA,CAMRY,CAUCASION / WHITE - ENGLISH,HOME OWNER,SOME COLLEGE,SMALL OR LARGE MULTI-FAMILY W/APT NUMBER,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SENIOR DISCOUNTS,LOW INCOME ELDERS,GOLDEN YEAR GUARDIANS,POST-WAR (< 1948),+40 YEARS,0,49,97.0,15.0,0,1,0,0,0,0,0,0.0,0,2.0,34.791667,2.0,0.0,1.0,8.0,2.0,5.0,,0.0,,,11.0,7.0,3.0,,,,0.0,0.0,0.0,0.0,24.0,0.0,0.0,780.0,417.5,0.0,0.0,34.791667,0.0,0.0,24.0,780.0,65.0,0.8,0.066667,TOYOTA CAMRY,417.5,34.791667,1,7477.0,142122.66,387594.07,2.475,47.044906,128.299924,73.0
155,4317516,UNKNOWN,CANCELLED,RI,UNKNOWN,DECEASED,NOTICE,UNKNOWN,2878,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SFDU,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,AGING IN PLACE,COMFORTABLE RETIREMENT,AUTUMN YEARS,UNKNOWN,BETWEEN 11 & 15 YEARS,1,13,,0.0,0,0,0,0,0,0,0,,0,,0.0,,,,,0.0,,,,,2.0,1.0,1.0,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN UNKNOWN,0.0,0.0,1,1211.0,53.0,62130.23,0.1645,0.007201,8.441607,
163,11622991,"50-59,999",ACTIVE,RI,750-799,UNKNOWN,AUTO RENEW,BASIC MEMBERSHIP,2889,SUBARU,BRZ,HISPANIC - HISPANIC ORIGIN,HOME OWNER,UNKNOWN,SFDU,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO PLACE LIKE HOME,ROUTINE SERVICE WORKERS,THRIVING BOOMERS,MILLENIALS (1981 - 1993),BETWEEN 1 & 5 YEARS,6,59,47.3636,8.6364,0,0,0,0,0,0,0,1.0,0,1.0,39.531818,6.0,0.0,2.0,4.0,0.0,1.0,,0.0,,1.0,3.0,3.0,4.0,,,,2.0,3.0,4.0,8.0,0.0,235.4,470.8,0.0,434.85,0.0,0.0,39.531818,0.0,0.0,12.0,706.2,64.2,0.0,0.0,SUBARU BRZ,434.85,39.531818,4,1384.0,29447.11,67930.83,2.2431,47.726272,110.09859,81.0
182,579810,"50-59,999",ACTIVE,RI,650-699,UNKNOWN,NOTICE,BASIC MEMBERSHIP,2863,INFINITI,QX56,CAUCASION / WHITE - EUROPEAN,HOME OWNER,SOME COLLEGE,SFDU,MALE,RETIRED,RETIRED - KNOWN,UNKNOWN,TOWN ELDERS,COMFORTABLE RETIREMENT,GOLDEN YEAR GUARDIANS,POST-WAR (< 1948),+40 YEARS,0,59,83.0,15.0,0,0,0,0,0,1,0,0.0,0,1.0,28.0,1.0,0.0,1.0,4.0,0.0,3.0,2.0,0.0,,,6.0,1.0,3.0,1.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INFINITI QX56,28.0,28.0,1,466.0,5980.6,26251.15,3.7581,48.230645,211.702823,70.0
188,7187017,"100-149,999",PENDING,RI,650-699,UNKNOWN,NOTICE,BASIC MEMBERSHIP,2888,VOLKSWAGEN,TIGUAN,CAUCASION / WHITE - EUROPEAN,HOME OWNER,UNKNOWN,SFDU,FEMALE,UNKNOWN,OFFICE ADMINISTRATION - INFERRED,UNKNOWN,AGING IN PLACE,COMFORTABLE RETIREMENT,AUTUMN YEARS,BABY BOOMERS (1948 - 1968),BETWEEN 21 & 30 YEARS,2,49,60.875,15.0,0,0,0,0,0,0,0,1.0,1,2.0,53.73125,1.0,0.0,,1.0,0.0,3.0,1.0,0.0,,,1.0,1.0,1.0,,9.0,,0.0,1.0,1.0,0.0,0.0,58.85,0.0,0.0,429.85,0.0,0.0,53.73125,0.0,0.0,1.0,58.85,7.35625,7.0,0.875,VOLKSWAGEN TIGUAN,429.85,53.73125,3,1274.0,22506.74,67472.61,2.6214,46.310165,138.832531,71.0
191,7728088,"100-149,999",ACTIVE,RI,800+,UNKNOWN,NOTICE,BASIC MEMBERSHIP,2806,LEXUS,CT200H,MIDDLE EASTERN - ARAB,HOME OWNER,UNKNOWN,SFDU,FEMALE,UNKNOWN,RETIRED - INFERRED,UNKNOWN,AMERICAN ROYALTY,BOURGEOIS PROSPERITY,POWER ELITE,BABY BOOMERS (1948 - 1968),+40 YEARS,0,59,65.5,13.0,0,0,0,0,0,0,0,0.0,0,4.3333,44.166667,5.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,,,18.0,2.0,7.0,,6.0,,0.0,3.0,0.0,0.0,1.0,0.0,0.0,58.85,265.0,0.0,0.0,44.166667,0.0,0.0,1.0,58.85,9.808333,14.0,2.333333,LEXUS CT200H,265.0,44.166667,3,1252.0,19807.4,63793.7,2.8981,45.850463,147.670602,76.0
195,7683618,UNKNOWN,CANCELLED,RI,UNKNOWN,DECEASED,NOTICE,UNKNOWN,2893,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SMALL OR LARGE MULTI-FAMILY W/APT NUMBER,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,BOHEMIAN GROOVE,METROPOLITAN STRUGGLERS,SIGNIFICANT SINGLES,UNKNOWN,+40 YEARS,0,49,,0.0,0,0,0,0,0,0,0,,0,,0.0,,,,,2.0,,,,,2.0,15.0,8.0,13.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN UNKNOWN,0.0,0.0,1,1211.0,53.0,62130.23,0.1645,0.007201,8.441607,
205,8724100,UNKNOWN,ACTIVE,RI,UNKNOWN,UNKNOWN,NOTICE,UNKNOWN,2879,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SFDU,MALE,UNKNOWN,RETIRED - INFERRED,UNKNOWN,PLATINUM PROSPERITY,BOURGEOIS PROSPERITY,POWER ELITE,POST-WAR (< 1948),BETWEEN 31 & 40 YEARS,5,59,77.5,7.5,0,0,0,0,0,0,0,1.0,0,2.0,29.425,6.0,0.0,1.0,10.0,0.0,1.0,2.0,0.0,,,16.0,2.0,7.0,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,58.85,0.0,58.85,0.0,0.0,29.425,0.0,0.0,1.0,58.85,29.425,0.0,0.0,UNKNOWN UNKNOWN,58.85,29.425,2,1211.0,53.0,62130.23,0.1645,0.007201,8.441607,
208,12394451,UNKNOWN,ACTIVE,RI,UNKNOWN,UNKNOWN,AUTO RENEW,BASIC MEMBERSHIP,2920,CHEVROLET,SONIC,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,POST-WAR (< 1948),BETWEEN 21 & 30 YEARS,2,59,79.5,0.0,0,0,0,0,0,0,0,1.0,0,,29.425,,,,,,,,,,2.0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.85,0.0,0.0,29.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHEVROLET SONIC,58.85,29.425,2,3543.0,56658.39,189037.43,2.7942,44.683273,149.083147,61.0
209,300071,UNKNOWN,CANCELLED,CT,UNKNOWN,NON-PAYMENT,NOTICE,BASIC MEMBERSHIP,6111,HYUNDAI,TUCSON,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,POST-WAR (< 1948),BETWEEN 31 & 40 YEARS,5,60,91.0,0.0,0,0,0,0,0,0,0,0.0,0,,14.5,,,,,,,,,,3.0,,,,,,,0.0,0.0,1.0,0.0,0.0,29.0,0.0,0.0,29.0,0.0,0.0,14.5,0.0,0.0,1.0,29.0,14.5,0.0,0.0,HYUNDAI TUCSON,29.0,14.5,2,1949.0,37892.83,99987.49,2.3202,45.110512,119.032726,73.0
