total_calls,aaa_mean_child,mean_basic_cost,length_of_residence,total_members_in_household,mean_tow_miles,mean_total_member_cost_veh,consumer_score,total_cost,credit_ranges_below_700,kcl_b_ind_mosaicsgrouping_boomers,aaa_auto_insurance_0,occupation_group_management,occupation_group_retired,use_road_side_0,use_road_side_1,aaa_motorcycle_indicator_0_0,aaa_id_theft,membership_id,yes_id_theft
18.0,2.0,33.833333,15.0,1,0.088889,132.370546,0.0136986301369863,304.5,1,0,1,0,0,0,1,1,0,153,0.4
0.0,0.0,0.0,0.0,1,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,1,0,0,0,155,0.03
9.0,1.0,39.205556,8.5556,4,0.0,117.08376299999999,0.012345679012345678,352.85,0,1,1,0,0,0,1,0,0,163,0.32
0.0,1.0,28.0,15.0,1,0.0,208.38222199999998,0.014285714285714285,28.0,1,0,0,0,1,1,0,1,0,182,0.28
1.0,2.0,53.975,15.0,3,1.166667,175.441122,0.015625,323.85,1,0,1,0,1,0,1,0,0,188,0.57
1.0,4.5,39.75,13.0,3,1.75,152.51689199999998,0.013157894736842105,159.0,0,0,1,0,1,0,1,1,0,191,0.46
0.0,0.0,0.0,0.0,1,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,1,0,0,0,195,0.03
1.0,2.0,29.425,7.5,2,0.0,8.441607000000001,0.01488015784150378,58.85,0,0,1,0,1,0,1,0,0,205,0.42
0.0,0.0,29.425,0.0,2,0.0,150.919066,0.01639344262295082,58.85,0,0,1,0,0,1,0,0,0,208,0.1
1.0,0.0,14.5,0.0,2,0.0,125.689416,0.0136986301369863,29.0,0,0,1,0,0,0,1,1,0,209,0.2
2.0,0.0,0.0,0.0,1,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,0,1,0,0,251,0.09
0.0,1.0,0.0,5.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,1,0,1,0,0,1,0,0,0,263,0.21
1.0,1.0,16.5,5.0,2,0.3,8.441607000000001,0.01488015784150378,33.0,0,0,0,0,1,0,1,0,0,282,0.42
1.0,1.0,32.5,15.0,1,0.0,145.274146,0.014925373134328358,32.5,0,0,1,0,1,0,1,1,0,335,0.42
16.0,1.0,24.6,12.0,2,2.36,162.892046,0.017241379310344827,123.0,1,0,1,0,0,0,1,1,0,341,0.38
1.0,2.0,17.666667,2.6667,3,0.0,162.892046,0.017241379310344827,53.0,0,0,1,0,0,0,1,1,0,342,0.3
0.0,0.0,0.0,0.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,1,0,0,0,1,0,0,0,358,0.04
8.0,0.0,24.5,0.0,2,9.44,175.441122,0.015625,242.5,0,0,0,0,0,0,1,1,0,366,0.23
0.0,1.0,13.5,7.0,2,0.0,8.441607000000001,0.01488015784150378,27.0,0,0,1,0,1,1,0,0,0,374,0.27
2.0,0.0,0.0,0.0,1,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,0,1,0,0,387,0.09
1.0,0.0,0.0,0.0,1,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,1,0,1,0,0,389,0.13
12.0,0.0,45.91,0.0,2,0.0,125.689416,0.0136986301369863,229.55,0,0,1,0,0,0,1,0,0,412,0.25
0.0,1.0,10.0,10.0,3,0.0,136.00893,0.015625,30.0,0,0,1,0,1,1,0,1,0,416,0.29
0.0,1.0,27.0,11.25,2,0.0,132.370546,0.0136986301369863,108.0,0,1,1,1,0,1,0,1,0,427,0.16
43.0,1.0,31.1875,13.125,2,0.7625,191.50224599999999,0.01488015784150378,249.5,0,1,1,1,0,0,1,0,0,439,0.25
2.0,0.0,0.0,0.0,3,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,0,1,0,0,450,0.09
