total_calls,aaa_mean_child,mean_basic_cost,length_of_residence,total_members_in_household,mean_tow_miles,mean_total_member_cost_veh,consumer_score,total_cost,credit_ranges_below_700,education_completed_college,education_high_school,education_some_college,generation_baby_boomers__1948___1968_,generation_generation_x__1969___1980_,generation_millenials__1981___1993_,generation_post_war____1948_,income_100k_,income_under_39999,aaa_id_theft_0,kcl_b_ind_mosaicsgrouping_golden_year,kcl_b_ind_mosaicsgrouping_middle_class_melting_pot,kcl_b_ind_mosaicsgrouping_power_elite,kcl_b_ind_mosaicsgrouping_singles_and_starters,aaa_auto_insurance_0,aaa_travel_0,occupation_group_management,occupation_group_other,occupation_group_professional,occupation_group_retired,mosaic_global_household_bourgeois_prosperity,mosaic_global_household_career_and_family,mosaic_global_household_comfortable_retirement,mosaic_global_household_low_income_elders,mosaic_global_household_routine_service_workers,aaa_credit_card_0,aaa_mortgage,membership_id,yes_mortgage
18.0,2.0,33.833333,15.0,1,0.088889,132.370546,0.0136986301369863,304.5,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,153,0.32
0.0,0.0,0.0,0.0,1,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,155,0.05
9.0,1.0,39.205556,8.5556,4,0.0,117.08376299999999,0.012345679012345678,352.85,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,163,0.44
0.0,1.0,28.0,15.0,1,0.0,208.38222199999998,0.014285714285714285,28.0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,182,0.19
1.0,2.0,53.975,15.0,3,1.166667,175.441122,0.015625,323.85,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,188,0.35
1.0,4.5,39.75,13.0,3,1.75,152.51689199999998,0.013157894736842105,159.0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,191,0.28
0.0,0.0,0.0,0.0,1,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,195,0.19
1.0,2.0,29.425,7.5,2,0.0,8.441607000000001,0.01488015784150378,58.85,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,205,0.33
0.0,0.0,29.425,0.0,2,0.0,150.919066,0.01639344262295082,58.85,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,208,0.43
1.0,0.0,14.5,0.0,2,0.0,125.689416,0.0136986301369863,29.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,209,0.52
2.0,0.0,0.0,0.0,1,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,251,0.24
0.0,1.0,0.0,5.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,263,0.34
1.0,1.0,16.5,5.0,2,0.3,8.441607000000001,0.01488015784150378,33.0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,282,0.39
1.0,1.0,32.5,15.0,1,0.0,145.274146,0.014925373134328358,32.5,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,335,0.32
16.0,1.0,24.6,12.0,2,2.36,162.892046,0.017241379310344827,123.0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,341,0.28
1.0,2.0,17.666667,2.6667,3,0.0,162.892046,0.017241379310344827,53.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,342,0.35
0.0,0.0,0.0,0.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,358,0.17
8.0,0.0,24.5,0.0,2,9.44,175.441122,0.015625,242.5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,366,0.38
0.0,1.0,13.5,7.0,2,0.0,8.441607000000001,0.01488015784150378,27.0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,374,1.0
2.0,0.0,0.0,0.0,1,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,387,0.29
1.0,0.0,0.0,0.0,1,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,389,0.11
12.0,0.0,45.91,0.0,2,0.0,125.689416,0.0136986301369863,229.55,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,412,0.46
0.0,1.0,10.0,10.0,3,0.0,136.00893,0.015625,30.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,416,0.2
0.0,1.0,27.0,11.25,2,0.0,132.370546,0.0136986301369863,108.0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,427,0.24
43.0,1.0,31.1875,13.125,2,0.7625,191.50224599999999,0.01488015784150378,249.5,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,439,0.3
