total_calls_veh,aaa_mean_child,total_members_in_household,mean_tow_miles,mean_total_member_cost_veh,consumer_score,aaa_financial_service_0,plus_indicator_description_basic_membership,plus_indicator_description_plus_membership,occupation_group_management,occupation_group_retired,sc_vehicle_manufacturer_name_middle_end_vehicle,tenure_between_21___40_years,tenure_under_20_years,no_members_3___member,gender_female,gender_male,kcl_b_ind_mosaicsgrouping_boomers,kcl_b_ind_mosaicsgrouping_golden_year,kcl_b_ind_mosaicsgrouping_power_elite,education_completed_college,use_road_side,membership_id,yes_roadside
5836.0,2.0,1,0.088889,132.370546,0.0136986301369863,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,153,1.0
1153.0,1.0,4,0.0,117.08376299999999,0.012345679012345678,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,163,1.0
337.0,1.0,1,0.0,208.38222199999998,0.014285714285714285,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,182,0.88
1253.0,2.0,3,1.166667,175.441122,0.015625,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,188,1.0
968.0,4.5,3,1.75,152.51689199999998,0.013157894736842105,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,191,1.0
1211.0,2.0,2,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,205,1.0
2726.0,0.0,2,0.0,150.919066,0.01639344262295082,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,208,0.85
1211.0,1.0,2,0.3,8.441607000000001,0.01488015784150378,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,282,1.0
1380.0,1.0,1,0.0,145.274146,0.014925373134328358,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,335,1.0
1181.0,2.0,3,0.0,162.892046,0.017241379310344827,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,342,1.0
1253.0,0.0,2,9.44,175.441122,0.015625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,366,1.0
1211.0,1.0,2,0.0,8.441607000000001,0.01488015784150378,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,374,0.81
1211.0,0.0,1,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,389,1.0
1548.0,0.0,2,0.0,125.689416,0.0136986301369863,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,412,1.0
2043.0,1.0,3,0.0,136.00893,0.015625,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,416,0.78
5836.0,1.0,2,0.0,132.370546,0.0136986301369863,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,427,0.73
955.0,1.0,2,0.7625,191.50224599999999,0.01488015784150378,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,439,1.0
492.0,1.0,1,0.8,164.69268200000002,0.017857142857142856,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,484,1.0
424.0,2.0,5,1.066667,143.574269,0.013157894736842105,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,487,1.0
1548.0,1.0,1,8.0,125.689416,0.0136986301369863,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,491,0.79
856.0,1.0,2,0.0,156.358351,0.01488015784150378,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,507,0.6125
1211.0,0.0,2,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,509,0.8016666666666667
1211.0,2.0,5,7.0875,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,535,1.0
3761.0,2.0,4,0.0,135.775668,0.014285714285714285,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,584,0.64
1211.0,4.0,4,0.683333,8.441607000000001,0.01488015784150378,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,593,1.0
1211.0,1.0,1,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,636,1.0
1211.0,1.0,2,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,0.83
1211.0,0.0,6,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,666,1.0
1211.0,1.0,5,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,722,0.8133333333333335
5836.0,1.0,1,12.08,132.370546,0.0136986301369863,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,725,1.0
2726.0,3.0,3,7.216667,150.919066,0.01639344262295082,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,727,1.0
1211.0,0.0,2,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,775,0.845
641.0,1.0,1,0.28571399999999997,181.860824,0.01488015784150378,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,778,1.0
1211.0,1.0,5,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,783,1.0
1211.0,4.0,3,0.2,8.441607000000001,0.01488015784150378,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,815,0.86
701.0,1.0,3,1.49,187.928256,0.017543859649122806,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,854,1.0
1211.0,0.0,1,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,866,0.8716666666666667
1211.0,1.0,1,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,868,1.0
