sc_vehicle_manufacturer_name,total_calls_veh,total_cost_veh,total_member_cost_veh,mean_total_calls_veh,mean_total_cost_veh,mean_total_member_cost_veh
ACURA,476.0,8187.33,25678.59,2.8848,49.620182,155.627818
ALFA ROMEO,0.0,318.0,0.0,0.0,22.714286,0.0
AMERICAN AUSTIN,0.0,27.0,112.0,0.0,27.0,112.0
APRILIA,6.0,81.0,395.7,6.0,81.0,395.7
AUDI,166.0,3651.05,8774.88,2.4058,52.913768,127.172174
AUSTIN HEALEY,2.0,302.0,117.7,2.0,302.0,117.7
BICYCLE,18.0,268.35,1266.5,3.0,44.725,211.083333
BMW,424.0,7674.89,24551.2,2.4795,44.882398,143.574269
BUICK,1380.0,23405.24,71474.88,2.8049,47.571626,145.274146
CADILLAC,701.0,9315.76,36646.01,3.5949,47.773128,187.928256
CHEVROLET,2726.0,41960.39,142165.76,2.8938,44.543938,150.919066
CHRYSLER,1253.0,19114.24,68772.92,3.1964,48.760816,175.441122
DODGE,1181.0,17855.64,63690.79,3.0205,45.666598,162.892046
FERRARI,5.0,280.0,551.7,1.0,56.0,110.34
FIAT,8.0,403.7,477.6,1.0,50.4625,59.7
FORD,4697.0,74808.17,258732.91,2.9578,47.108419,162.930044
FWD CORPORATION,7.0,267.7,483.9,3.5,133.85,241.95
GENESIS,11.0,121.85,549.75,3.6667,40.616667,183.25
GEO,8.0,349.85,435.7,1.1429,49.978571,62.242857
GMC,492.0,8475.98,29479.99,2.7486,47.351844,164.692682
HARLEY DAVIDSON,3.0,104.97,216.82,3.0,104.97,216.82
HINO,0.0,29.0,0.0,0.0,29.0,0.0
HONDA,3761.0,73715.11,203391.95,2.5107,49.209019,135.775668
HUMMER,0.0,125.0,0.0,0.0,62.5,0.0
HYUNDAI,1548.0,28668.83,79687.09,2.4416,45.218975,125.689416
INFINITI,337.0,4289.6,18754.4,3.7444,47.662222,208.382222
ISO,1.0,53.0,53.0,1.0,53.0,53.0
ISUZU,30.0,637.0,2165.35,3.0,63.7,216.535
JAGUAR,155.0,1775.55,7791.44,4.1892,47.987838,210.579459
JEEP,1322.0,22494.72,73181.07,2.8188,47.963156,156.036397
KAWASAKI,1.0,53.0,32.5,1.0,53.0,32.5
KIA,772.0,10812.89,37481.4,3.1255,43.776883,151.746559
LAND ROVER,36.0,1326.75,1883.3,1.3846,51.028846,72.434615
LEXUS,968.0,15132.4,49567.99,2.9785,46.561231,152.516892
LINCOLN,417.0,7587.46,23516.07,2.6063,47.421625,146.975438
MASERATI,4.0,53.0,188.3,4.0,53.0,188.3
MAZDA,750.0,12494.39,38928.53,2.8409,47.327235,147.456553
MERCEDES-BENZ,955.0,13755.85,52854.62,3.4601,49.840036,191.502246
MERCURY,856.0,12641.68,43623.98,3.0681,45.310681,156.358351
MG,17.0,488.85,1211.12,3.4,97.77,242.224
MINI,75.0,1874.68,4437.34,1.875,46.867,110.9335
MITSUBISHI,249.0,2705.97,12335.93,4.2931,46.654655,212.688448
NISSAN,2043.0,35162.27,106767.01,2.6025,44.792701,136.00893
OLDSMOBILE,325.0,4147.96,19611.4,3.6932,47.135909,222.856818
PLYMOUTH,100.0,1445.85,6607.55,3.8462,55.609615,254.136538
PONTIAC,471.0,8213.08,25453.86,2.8373,49.476386,153.336506
PORSCHE,128.0,1917.9,10333.09,4.7407,71.033333,382.707037
RAM,61.0,1009.4,3397.45,2.9048,48.066667,161.783333
ROLLS ROYCE,0.0,53.0,0.0,0.0,53.0,0.0
SAAB,271.0,5459.79,15477.69,2.6569,53.527353,151.742059
SATURN,641.0,8320.64,33098.67,3.522,45.717802,181.860824
SCION,91.0,1346.05,4820.85,2.7576,40.789394,146.086364
SEMI,1.0,53.0,58.85,1.0,53.0,58.85
SMART,1.0,53.0,53.0,1.0,53.0,53.0
SUBARU,1153.0,22582.11,56317.29,2.3971,46.948254,117.083763
SUZUKI,64.0,1047.85,3396.15,3.3684,55.15,178.744737
TOYOTA,5836.0,107732.66,303128.55,2.5485,47.04483,132.370546
TRIUMPH,3.0,68.0,219.65,3.0,68.0,219.65
UNKNOWN,1211.0,53.0,62130.23,0.1645,0.007201,8.441607
VOLKSWAGEN,981.0,16722.74,52101.62,2.7175,46.32338,144.325817
VOLVO,1064.0,16108.28,55052.92,3.1202,47.238358,161.445513
