sc_vehicle_manufacturer_name,total_calls_veh,total_cost_veh,total_member_cost_veh,mean_total_calls_veh,mean_total_cost_veh,mean_total_member_cost_veh
ACURA,610.0,11087.33,32825.24,2.8111,51.093687,151.268387
ALFA ROMEO,0.0,318.0,0.0,0.0,22.714286,0.0
AMERICAN AUSTIN,0.0,54.0,224.0,0.0,27.0,112.0
APRILIA,12.0,162.0,791.4,6.0,81.0,395.7
AUDI,188.0,4133.05,9737.38,2.321,51.025309,120.214568
AUSTIN HEALEY,4.0,604.0,235.4,2.0,302.0,117.7
BICYCLE,27.0,374.35,1984.75,3.0,41.594444,220.527778
BMW,534.0,9810.89,30710.41,2.2437,41.222227,129.035336
BUICK,1799.0,31418.24,92512.87,2.6851,46.892896,138.07891
CADILLAC,920.0,12368.76,48041.12,3.5115,47.209008,183.363053
CHEVROLET,3543.0,56658.39,189037.43,2.7942,44.683273,149.083147
CHRYSLER,1653.0,24909.24,89428.59,3.1667,47.718851,171.319138
DODGE,1570.0,24117.64,84943.62,3.0019,46.114034,162.416099
FERRARI,5.0,439.0,551.7,0.625,54.875,68.9625
FIAT,9.0,560.7,557.45,0.8182,50.972727,50.677273
FORD,6154.0,98711.17,337455.17,2.8974,46.474185,158.877199
FWD CORPORATION,7.0,267.7,483.9,3.5,133.85,241.95
GENESIS,11.0,121.85,549.75,3.6667,40.616667,183.25
GEO,9.0,455.85,494.55,1.0,50.65,54.95
GMC,612.0,10831.98,35584.31,2.6379,46.689569,153.380647
HARLEY DAVIDSON,3.0,104.97,216.82,3.0,104.97,216.82
HINO,0.0,58.0,0.0,0.0,29.0,0.0
HONDA,4897.0,94941.11,267005.07,2.4473,47.446832,133.435817
HUMMER,0.0,125.0,0.0,0.0,62.5,0.0
HYUNDAI,1949.0,37892.83,99987.49,2.3202,45.110512,119.032726
INFINITI,466.0,5980.6,26251.15,3.7581,48.230645,211.702823
ISO,1.0,53.0,53.0,1.0,53.0,53.0
ISUZU,36.0,773.0,2399.35,2.7692,59.461538,184.565385
JAGUAR,186.0,2320.55,9359.05,3.6471,45.50098,183.510784
JEEP,1713.0,30181.72,94504.62,2.7408,48.290752,151.207392
KAWASAKI,2.0,106.0,65.0,1.0,53.0,32.5
KIA,946.0,13496.89,45906.06,3.0032,42.84727,145.733524
LAND ROVER,39.0,1565.75,2040.3,1.2581,50.508065,65.816129
LEXUS,1252.0,19807.4,63793.7,2.8981,45.850463,147.670602
LINCOLN,574.0,10445.46,32286.69,2.5973,47.264525,146.09362
MASERATI,8.0,106.0,376.6,4.0,53.0,188.3
MAZDA,971.0,16608.39,50274.76,2.7664,47.31735,143.232934
MERCEDES-BENZ,1211.0,18071.85,67650.22,3.3361,49.784711,186.364242
MERCURY,1158.0,17361.68,59571.57,3.0314,45.449424,155.946518
MG,19.0,553.85,1329.34,2.7143,79.121429,189.905714
MINI,89.0,2314.68,5067.09,1.6792,43.673208,95.605472
MITSUBISHI,355.0,3704.97,17188.38,4.3827,45.74037,212.202222
NISSAN,2577.0,45170.27,133946.81,2.5364,44.458927,131.837411
OLDSMOBILE,451.0,5770.96,26628.3,3.608,46.16768,213.0264
PLYMOUTH,130.0,1851.85,8564.85,3.7143,52.91,244.71
PONTIAC,623.0,11244.08,33918.97,2.7445,49.533392,149.422775
PORSCHE,180.0,2594.9,14017.63,4.6154,66.535897,359.42641
RAM,66.0,1221.4,3674.15,2.64,48.856,146.966
ROLLS ROYCE,0.0,106.0,0.0,0.0,53.0,0.0
SAAB,395.0,7844.79,22309.56,2.7431,54.477708,154.9275
SATURN,899.0,11721.64,46216.34,3.4981,45.609494,179.830117
SCION,127.0,1903.05,6779.6,2.7609,41.370652,147.382609
SEMI,1.0,53.0,58.85,1.0,53.0,58.85
SMART,2.0,106.0,106.0,1.0,53.0,53.0
SUBARU,1384.0,29447.11,67930.83,2.2431,47.726272,110.09859
SUZUKI,79.0,1422.85,4216.2,3.2917,59.285417,175.675
TOYOTA,7477.0,142122.66,387594.07,2.475,47.044906,128.299924
TRIUMPH,3.0,68.0,219.65,3.0,68.0,219.65
UNKNOWN,1211.0,53.0,62130.23,0.1645,0.007201,8.441607
VOLKSWAGEN,1274.0,22506.74,67472.61,2.6214,46.310165,138.832531
VOLVO,1452.0,22597.28,76698.01,3.0313,47.17595,160.121106
